Disease_id,VN_name
4538,Giãn phế quản ở trẻ em
4541,Viêm da đầu chi liên tục Hallopeau
4542,Bệnh Raynaud
4543,Teo vỏ não
4544,Hành vi cho ăn
4545,"Điếc, bẩm sinh, teo tai trong, tật nhỏ và răng nhỏ"
4546,bệnh huyết khối
4547,Ung thư bạch cầu kỳ lạ
4548,Lo lắng về hiệu suất
4549,Nhạy cảm ánh sáng nghiêm trọng
4550,Crus ưu việt nổi bật của phản xoắn
4551,Sự phát triển quá mức của sườn phế nang
4552,U nội mô mạch máu Kaposiform
4553,Cicatrix
4554,Bệnh cơ gần
4555,Deuteranopia
4556,Ung thư hậu môn
4557,Tổn thương nhú toàn thân
4558,Vắng mặt
4559,Rối loạn chuyển hóa và dinh dưỡng
4560,U insulin tuyến tụy ác tính
4561,Loét trên lưỡi
4562,Liệt dây thần kinh vận nhãn
4563,Phình động mạch mở rộng
4564,U ác tính thứ phát của trung thất
4565,Viêm phế quản tái phát
4566,Mạch máu liên quan đến khối u
4567,Thiếu máu nguyên bào sắt liên kết X với chứng mất điều hòa tủy sống tiểu não
4568,Đau không chịu nổi
4569,"Thiếu hụt 17-Alpha-Hydroxylase/17,20 Lyase"
4571,Xương cụt nổi bật
4572,Tóc bất thường
4573,Giảm tổng lượng carnitine trong huyết tương
4574,Hội chứng Bamforth
4575,Tốc độ dẫn truyền thần kinh bất thường
4576,Rối loạn nhận thức nhẹ
4577,"Khối u nguyên bào nuôi, biểu mô"
4578,Co thắt thanh quản
4579,đau thắt ngực
4580,Viêm tụy tái phát
4581,giật gân mắt cá chân
4582,Bướu ác tính của hệ thần kinh trung ương
4583,Bất thường của đường corticospinal
4584,Thiếu máu tán huyết mãn tính
4585,Tiêu cơ vân do tập thể dục
4586,Ảo giác về cảm giác cơ thể
4587,Tăng sản vỏ thượng thận
4588,Sarcoma cổ điển loại Kaposi
4589,Ung thư vú
4590,Bệnh tế bào mast hệ thống không rõ ràng
4591,Bệnh Binswanger
4592,Bệnh vẩy nến khởi phát sớm loại 1
4594,Pseudomenocele
4595,còi xương hạ canxi
4596,Rối loạn bạch cầu ái toan
4597,Giảm trương lực cơ nặng
4598,Hyperekplexia và động kinh
4600,Móng tay mỏng
4601,Bệnh tiểu đường mới khởi phát sau khi cấy ghép
4602,bệnh xoang
4603,Nevus của hắc mạc
4604,Hội chứng Lynch
4605,Nhiễm độc gan
4606,M5b Bệnh bạch cầu đơn nhân cấp tính biệt hóa
4607,"Hội chứng Usher, loại III"
4608,Viêm phế quản cấp do virus hợp bào hô hấp
4609,Ung thư biểu mô trực tràng Astler-Coller B1
4610,Hội chứng Reye
4611,Viêm khớp biến dạng
4612,Vẹo cột sống bẩm sinh tiến triển
4613,Bệnh võng mạc không tăng sinh
4614,Hội chứng sốt định kỳ liên quan đến thụ thể TNF (TRAPS)
4615,Loạn sản thận lan tỏa dạng nang
4616,U màng não nền sọ
4619,Nước tiểu có màu sẫm
4620,Khối u tế bào Granulosa ác tính
4621,Kích thích - cảm xúc
4622,"Tân sinh, tàn dư"
4623,Chảy máu dai dẳng sau chấn thương
4624,"Tăng huyết áp, Goldblatt"
4625,Bệnh lý thần kinh
4626,Megalencephaly cutis marmorata telangiectatica congenita
4627,Chứng loạn sản cột sống với chứng loạn dưỡng hình nón
4628,"Bệnh lý thần kinh thính giác, bệnh lặn không có hội chứng"
4629,"Thiếu kết dính bạch cầu, loại III"
4630,Chỉ số áp lực cánh tay mắt cá chân (thực thể có thể quan sát được)
4632,niệu quản song công
4633,Trạng thái trầm cảm do thuốc gây ra
4634,u nhú Schneiderian
4635,Cánh chậu loạn sản
4636,Cường cận giáp cấp ba
4637,Thoái hóa võng mạc
4638,Bệnh cơ đoạn gần với sự suy giảm khu trú của ty thể
4639,Phù não gây độc tế bào
4640,U tế bào mast lành tính
4641,Cuộc tấn công hoảng loạn
4642,Ung thư biểu mô tế bào vảy thanh quản tái phát
4643,Hạ huyết áp thế đứng do rối loạn chức năng tự chủ
4644,Viêm bàng quang cấp tính
4645,Dịch bệnh viêm giác mạc
4646,não úng thủy
4647,Khối u ác tính ở vú phụ nữ
4648,Khối u nguyên bào nuôi thai kỳ
4649,Giai đoạn IV Tuyến ức AJCC v8
4650,Xơ cứng cầu thận từng đoạn khu trú 1
4651,Viêm màng ngoài tim co thắt
4652,Bệnh viêm niêm mạc
4653,Độ cứng của bộ mở rộng
4654,Sốt đỏ tươi
4655,lông mao bất động
4656,Lupus ban đỏ hệ thống ở trẻ sơ sinh
4657,Lỗi siêu lọc
4658,Tăng nồng độ xylitol trong nước tiểu
4660,Mất mô mỡ dưới da ở chi
4661,Chứng loạn sản cột sống
4662,Bệnh u xơ thần kinh 1
4663,Nhiễm trùng Trypanolytic
4664,Cốt ngoài tử cung ở mô cơ
4665,bệnh Ehrlichiosis
4666,Rung giật nhãn cầu bẩm sinh
4667,Bệnh não thủy ngân
4668,"Đục thủy tinh thể, có mủ"
4669,Kiểm tra chặn regtine tích cực
4670,"Thiếu máu, Diamond-Blackfan, 2"
4671,u hamartoma
4672,Cân bằng nội môi cholesterol bất thường
4674,Nhiễm BCG
4675,Khả năng dẫn động của mắt bị suy giảm
4677,Mãn kinh
4678,Ung thư biểu mô tế bào chuyển tiếp
4679,Thiếu ZAP70
4680,"Hội chứng mất nhiễm sắc thể 22q11.2, xa"
4681,Suy buồng trứng sớm 5
4682,Bệnh Anaplasmosis ở bò
4683,Giãn mạch bạch huyết tuyến giáp
4684,Cảm giác nghiền nát
4685,đột quỵ tắc nghẽn
4686,"Adenosine Triphosphate, Tăng, Của Hồng Cầu"
4687,Viêm ruột già
4688,Khe hở xương sườn sau
4689,Teo hỗng tràng kèm dị tật đầu nhỏ và dị tật mắt
4690,Phản xạ gân xương giảm
4691,Bệnh nấm candida âm hộ sinh dục
4692,Viêm khớp sarcoid
4693,đo beta-Endorphin
4694,Hạ đường huyết
4695,Bệnh mụn nước ở lợn
4696,Bất sản các đốt xa của bàn tay
4697,Tiền thân của bệnh bạch cầu nguyên bào lympho B-Cell
4698,Chứng gù cổ tử cung
4699,Vô tinh do tắc nghẽn mắc phải
4700,Ecthyma
4701,Tăng trương lực chi
4702,"BỊ Liệt cứng 6, BỆNH TRUYỀN THỐNG NỔI THƯỜNG (rối loạn)"
4703,Viêm xương khớp sớm
4704,Sỏi tiết niệu axit uric
4705,Bệnh Toxoplasmosis
4706,Khối u tuyến yên
4707,"Ung thư biểu mô tế bào vảy cổ tử cung di căn, không được chỉ định khác"
4708,Hoạt động của yếu tố đông máu V tăng cao
4709,Dát tăng sắc tố
4710,Suy giảm khả năng rút cục máu đông
4711,Khiếm khuyết thành bụng
4712,Trật khớp chi dưới
4713,"Đau thần kinh, không điển hình"
4714,Bệnh võng mạc tiểu đường đe dọa thị giác
4715,Hẹp thực quản kèm theo rò khí quản thực quản (rối loạn)
4716,Nếp gấp mũi nổi bật
4717,Nghiện thực phẩm
4718,"U nang ống mật chủ, loại IV"
4719,Thiếu hụt Globulin gắn với Thyroxine
4720,Viêm khớp sọ liên trán
4722,HỘI CHỨNG QT NGẮN 2 (rối loạn)
4723,Nhiễm trùng do tụ cầu vàng kháng vancomycin
4724,"Nồng độ N,N-dimethylglycine tăng cao"
4725,Reticulin giảm
4726,Di căn bạch huyết
4727,Đường kính sợi tăng
4728,"Xeroderma sắc tố, nhóm A"
4729,Bệnh ung thư buồng trứng
4730,"Bệnh tiểu đường khởi phát ở người trẻ tuổi, loại 10"
4731,Thiếu yếu tố V
4732,Angiomyolipoma dạng biểu mô
4733,Đau đầu từng cụm và các chứng đau đầu thần kinh sinh ba tự chủ khác
4734,"Khối u thân não, nguyên phát"
4735,Đục thủy tinh thể có dấu lấm chấm
4736,Tái hấp thu phôi
4737,"Viêm phế quản, tăng sinh"
4738,Suy giảm miễn dịch kết hợp
4741,Ung thư tuyến giáp không tủy
4742,Tăng nồng độ axit L-glutamic trong máu
4743,Giảm sắc tố da
4744,Khối u ác tính của da ở chi dưới
4745,Các bệnh viêm liên quan đến tình trạng thiếu oxy
4746,Viêm mật mã
4748,Tràn dịch màng phổi xuất huyết
4749,chủ nghĩa lười biếng
4750,Chứng sợ khoảng rộng không có rối loạn hoảng sợ
4752,Các ban tăng sắc tố và giảm sắc tố riêng biệt có kích thước từ 2 đến 5 mm
4753,Đo tổng khả năng liên kết sắt
4754,Khối u ác tính của amidan
4755,U nội mô mạch máu
4757,Sếp trực diện
4758,U tuyến nhú tuyến giáp
4759,Dị ứng da
4760,Chu vi hông
4761,delta^0^ Bệnh thalassemia
4762,Bệnh Giardia
4763,bệnh thấp khớp Palindromic
4764,Thiếu vitamin B
4765,Ung thư hạch mô bạch huyết liên quan đến niêm mạc đại tràng
4766,Vỏ xương bàn chân mỏng
4767,"BỆNH PARKINSON, BỆNH MITOCHONDRIAL (rối loạn)"
4768,Bệnh tuyến yên
4769,Khối u mô đệm đường tiêu hóa của đường tiêu hóa
4770,Hội chứng vi xóa NF1
4771,Hình thành áp xe da tái phát
4772,Tăng trọng lượng cơ thể
4773,Da siêu giãn
4774,Khuỷu tay cứng
4775,Đục thủy tinh thể cực
4776,Hội chứng Froehlich
4777,Ung thư tiền triệu chứng
4778,"Loạn sản cột sống siêu hình, loại Kozlowski"
4779,Ung thư khoang miệng
4780,Nhồi máu cơ tim không ST chênh lên
4781,Teo cơ xa tiến triển
4782,Màu xanh xao của các cột sống sau của tủy sống
4783,Giảm hoạt động của phức hợp ty thể Iii trong mô gan
4784,Thiếu enzyme ty thể
4785,Rối loạn chuyển hóa hệ thần kinh trung ương
4786,Hydrophthalmos
4788,"Bệnh thần kinh vận động, phần trên"
4789,Cơ tim choáng váng
4790,Nhiễm trùng Cestode
4791,Chứng loạn sản xương Eiken
4792,Tăng nhu động
4794,"Suy Giảm Tiểu Cầu-Giảm Tiểu Cầu, Di Truyền"
4795,Sắc tố
4797,Tăng mức độ Ribitol trong Csf
4798,Áp lực ở ngực
4799,Dị ứng với phấn hoa cỏ
4800,Nhiễm Trichomonas
4801,Ung thư biểu mô tuyến răng cưa đại trực tràng
4802,Sarcoma mô đệm đường tiêu hóa
4803,"Ngất, Nỗ lực"
4804,Tăng Csf Interferon Alpha
4805,Ung thư tuyến tụy di căn
4806,Viêm hạch do vi khuẩn
4808,Bệnh bạch cầu bạch cầu ái toan mãn tính liên quan đến Pdgfrb
4810,Phì đại bàng quang
4813,Xơ cứng xương nền sọ
4814,Adenoma của tai giữa
4815,Chảy máu kéo dài sau cắt bao quy đầu
4816,U nang tuyến giáp
4817,Rosacea hồng cầu giãn mạch
4818,Hoại tử gan bán cấp
4820,Độ nghiêng lên trên của khe nứt mí mắt
4821,Thoái hóa thể vân
4822,Viêm phúc mạc nguyên phát
4823,Tăng axit vanillylmandelic trong nước tiểu
4824,Hành vi tình dục không phù hợp
4825,Tăng mức độ D-Threitol trong huyết tương
4826,hệ thống
4827,Ung thư tế bào nhỏ nội mạc tử cung
4829,Ung thư buồng trứng giai đoạn I AJCC v8
4830,Sa sút cơ quan sinh dục nữ
4831,"Rụng tóc, Androgen, 3"
4832,Dị tật bẩm sinh thể chai
4833,Không nhạy cảm với insulin
4834,Rối loạn hệ tiêu hóa
4835,Mất trường thị giác ngoại vi
4836,Viêm não dị ứng thực nghiệm mãn tính
4837,Bệnh loạn dưỡng hình nón hình thành amelogen không hoàn hảo
4838,Viêm gan virus mãn tính
4839,Rung giật nhãn cầu ngang do ánh nhìn gợi lên
4840,"Điếc, nhiễm sắc thể thường trội 48"
4841,Nhiễm trùng ống thông
4842,Những cơn nghẹn
4843,lồng ruột
4844,Bệnh gan ứ mật
4845,Đau đa khớp
4846,Chậm phát triển vận động thô
4847,Gan bất thường
4848,Co cứng chi trên
4849,hội chứng Jaccoud
4850,Rối loạn dinh dưỡng bào thai
4851,Chức năng ghép chậm
4852,Suy động mạch
4853,Định kỳ
4854,Viêm đường mật do vi khuẩn
4855,"Kháng hormone tuyến giáp, toàn thân, lặn nhiễm sắc thể thường"
4856,Bệnh loãng xương nhiễm sắc thể thường trội loại 2
4857,Bệnh tiểu não
4858,tăng huyết áp phụ thuộc renin
4859,Rối loạn vận động miệng
4860,Hẹp động mạch thận hai bên
4861,bệnh rubeosis mống mắt
4862,"Bệnh đầu nhỏ, nhiễm sắc thể lặn nguyên phát, 5"
4863,Alexia
4864,Đãng trí
4865,Giãn thất phải
4866,U kết mạc Hamartoma
4867,Thiếu tế bào diệt tự nhiên
4868,Trầm cảm tái phát
4869,Suy tim sung huyết
4870,Suy giáp sau phẫu thuật
4871,Alpha thalassemia thể nhẹ
4872,Chân ngắn
4873,Sarcoma cơ vân dạng botryoid
4874,Giảm hoạt tính Antitrombin Iii
4875,Xương chậu vuông
4876,Đợt kịch phát hen suyễn nặng và khó chữa cấp tính
4877,"Bệnh u mỡ lòng bàn chân, khuôn mặt bất thường và chậm phát triển"
4878,Dị tật lưỡi bẩm sinh
4879,Điện não đồ có tần số chậm bất thường
4880,Chứng loạn sản ống thần kinh bẩm sinh
4881,suy giảm khả năng tự chủ
4882,Viêm phúc mạc
4883,"Viêm giác mạc, Herpetic"
4884,Suy giảm miễn dịch tế bào B
4885,Nghẹt thở
4886,Bệnh gout
4888,"Thiếu hụt Glutathione Peroxidase, thiếu máu tán huyết có thể do"
4889,Hibernoma
4890,Ung thư biểu mô tế bào vảy da di căn
4891,Tăng sản vú thùy không điển hình
4892,Răng cửa thừa hàm trên
4893,"Bệnh tăng nhãn áp 1, Góc mở, G"
4894,Rối loạn giật cơ vận động
4895,Tiêu chảy chức năng
4896,Bệnh cơ hoại tử tự miễn
4897,Miếng dán da bị giảm sắc tố
4899,"Rối loạn vị giác, thứ phát, ngọt"
4900,Tĩnh mạch chủ trên trái dai dẳng
4902,"Trisomy 21, Không phân chia phân bào"
4903,Suy giảm thính lực trầm trọng
4904,Xơ hóa dưới niêm mạc miệng
4905,Tăng clo huyết
4906,"Rối loạn tâm thần, phản ứng ngắn"
4907,"bệnh von Willebrand, loại IIC"
4908,Bệnh hemosiderosis gan
4909,Viêm võng mạc sắc tố 13
4910,ác cảm bằng miệng
4911,"Ung thư, ống tụy"
4912,Xuất tinh sớm
4913,Ung thư vú ở người
4914,Viêm ống dẫn tinh
4915,U tế bào sợi cơ ở trẻ em
4916,Mất mô mỡ vùng mặt
4918,Thoát vị tủy xương
4919,Bệnh xơ cứng xương
4920,Bệnh tự viêm di truyền
4921,Chuyển động giật đầu
4922,Thoái hóa thùy trán
4923,Hen suyễn nặng dai dẳng
4924,Lông nách thưa thớt
4926,Brachydactyly loại C
4927,Polyp ruột
4928,Viêm thận ống kẽ thận
4929,Huyết khối động mạch não giữa
4930,Suy phổi mãn tính ở trẻ sinh non
4931,"Huyết khối tĩnh mạch cửa, CTCAE"
4932,Dị sản siêu hình
4933,Hội chứng tim-thận
4934,Tắc động mạch thận
4935,"Loạn dưỡng cơ, xương vai"
4936,Hội chứng đơn nhân một phần 22q11
4937,U cơ trơn dạng đám rối
4938,U cơ trơn da
4939,hàm trên hẹp
4940,Ung thư hạch lympho T thời thơ ấu
4941,Đau bụng kinh nguyên phát
4942,Ung thư biểu mô tuyến ở chỗ nối dạ dày thực quản
4943,"Liệt nửa người, hậu Ictal"
4944,Trì hoãn sự trưởng thành của xương
4945,vàng da
4947,Nhiễm trùng Staphylococcus Aureus tái phát
4948,Ung thư hạch lympho trưởng thành
4949,Huyết khối ngoại biên
4950,hạ đường huyết
4952,Xanthoma dạ dày
4953,Ung thư vú giai đoạn II AJCC v6 và v7
4955,Hội chứng viêm giác mạc-Ichthyosis-Điếc
4956,Tóc bạc sớm trên cơ thể
4958,"Bệnh bạch cầu, bệnh tủy, giai đoạn mãn tính"
4959,Bệnh gan tự miễn
4960,Trisomy 18 và Trisomy 13
4961,Bệnh thiếu hụt Tyrosine Transaminase
4962,Phản ứng giật mình quá mức
4963,Thèm muối
4964,sâu răng sâu
4965,Tăng đường huyết
4967,Thiếu hụt Carnitine palmitoyl transferase 2
4968,Ung thư tế bào vảy
4969,Tính cách hung hăng
4970,Ung thư hạch tế bào nhỏ
4971,Bất sản mạch máu phổi
4973,Chứng loạn sản chỏm xương đùi
4974,Lao động sớm
4975,Vôi hóa dưới da
4976,Độc tính trên tim
4977,"Thiếu máu bất sản, vô căn"
4978,Phù mạch máu
4979,Nhiễm độc nhiễm trùng huyết
4980,"Suy giảm miễn dịch liên kết X với khiếm khuyết magiê, nhiễm virus Epstein-Barr và u tân sinh"
4981,Phenylketon niệu
4982,Giảm hoạt tính dihydropyrimidine dehydrogenase
4983,Ung thư biểu mô tế bào vảy cổ tử cung
4984,Đo thụ thể Transferrin hòa tan
4985,Bệnh hạch nền
4986,Suy tuyến cận giáp thứ phát
4987,Biến thể hành vi của chứng mất trí nhớ trán-thái dương
4988,Viêm họng tái phát
4989,Lạc nội mạc tử cung buồng trứng
4990,Giảm thần kinh
4991,Dính vùng chậu
4992,Rối loạn thoái hóa
4993,Hoại tử ống thận cấp tính
4994,Điểm yếu của cơ duỗi ngón tay dài
4995,HỘI CHỨNG XÓA CHROMOSOME 2p16.3
4996,Hội chứng Brown-Vialetto-Van Laere 1
4999,"Thiếu hụt 5,10-Methylenetetrahydrofolate reductase"
5000,Hội chứng nút xoang
5001,Giãn tĩnh mạch xa
5002,thiểu niệu
5003,"Dị tật chi trên, bẩm sinh"
5004,Bệnh dày sừng lòng bàn tay đối xứng bẩm sinh
5005,Bệnh lý rễ thần kinh
5006,U ác của 1/3 trên thực quản
5007,Rối loạn chu kỳ đánh thức giấc ngủ vô cơ
5008,hội chứng dị tật đầu nhỏ-kỹ thuật số
5010,Xơ cứng xương toàn thể
5011,Phù sợi trục
5012,"U xơ, nướu, loại 1"
5013,Viêm nướu mãn tính
5014,bệnh histoplasmosis
5015,Thiếu Apolipoprotein C-II (rối loạn)
5016,hoa tai đơn
5017,Dị sản thận
5018,tăng hồng cầu lưới
5019,Hội chứng Fechtner (rối loạn)
5020,Tái hấp thu rễ
5021,Rối loạn giấc ngủ vô cơ
5022,Viêm phế quản mãn tính
5023,Viêm tuyến giáp
5024,Tắc động mạch phổi
5025,Hội chứng CREST
5026,Tái tạo sắc tố dạng lưới của Kitamura
5027,Xerostomia do bức xạ
5028,"Viêm ruột, giảm bạch cầu"
5029,Thiếu Phosphoglycerate Dehydrogenase
5030,"Ung thư hạch, lan tỏa"
5031,Bất sản/thiểu sản xương chày
5033,Nhiều lipomata
5034,Ngón chân thứ 5 ngắn
5035,Các vòng xoắn cao cấp được gấp lại
5036,Đau mãn tính sau phẫu thuật lồng ngực
5037,Hình thái mống mắt bất thường
5038,Tân sinh nội biểu mô vảy cổ tử cung cấp độ thấp
5039,Giảm nồng độ beta-2-microglobulin tuần hoàn
5040,Khối u ác tính của ruột già giai đoạn IIa
5041,Đầu--Khối u
5042,"dáng đi, cứng nhắc"
5043,Phản xạ tiền đình mắt tăng cường thị giác
5044,Tái tạo tâm thất
5045,Giả sụn
5046,Rối loạn chức năng miễn dịch với sự bất hoạt của tế bào T do khiếm khuyết về canxi 2
5047,Gây tê cục bộ
5048,loạn thị cận thị
5049,Dị sắc tế bào
5051,"Động kinh giật cơ, tiến triển"
5052,Bướu cổ dạng keo
5053,Tràn dịch màng phổi tiết dịch
5054,Bệnh tắc động mạch ngoại biên
5056,Ung thư hạch cấp độ cao (tân sinh)
5057,Tăng alpha-fetoprotein
5058,tăng sản polyp đại tràng (không đặc hiệu)
5060,Suy tuyến giáp
5061,Ung thư biểu mô tuyến âm hộ loại tuyến vú
5062,Đau đa cơ
5063,"Thiếu oxy-thiếu máu cục bộ, não"
5064,Suy thận cấp tính
5065,"Chứng teo cơ, đơn sắc"
5066,Glucose niệu gia đình
5067,Rối loạn ý thức
5068,Độc tố phôi sau
5069,Bài tiết Glycosaminoglycan qua nước tiểu
5070,"U nang ống mật chủ, loại I"
5071,U lympho hệ thần kinh trung ương nguyên phát
5072,Bịnh giang mai
5074,Tốc độ dẫn truyền thần kinh cảm giác giảm
5075,Khối u vỏ thần kinh ngoại biên ác tính ở trẻ em
5076,Hội chứng Klinefelter - nam có nhiều hơn hai nhiễm sắc thể X
5077,Teo Olivopontocerebellar gia đình
5079,Hội chứng vú-ulnar
5080,Nhiều gãy xương trước khi sinh
5081,"Bệnh loạn sản sụn thân rễ, loại 3"
5082,Bệnh bạch cầu
5083,Ưu thế sợi cơ loại 1
5084,Bệnh thần kinh
5085,Chảy nước dãi
5087,Suy giảm miễn dịch tế bào
5088,Chứng loạn sản 2
5089,Giảm hoạt tính của N-acetylglucosaminyltransferase II
5090,Ung thư buồng trứng tái phát
5091,Viêm xương sụn Dissecans
5092,Bệnh amyloidosis hệ thống nguyên phát
5093,Hypoplasia của cơ thể mi
5094,đau thắt ngực
5095,Tăng lipoprotein máu loại III
5096,Hội chứng Mowat-Wilson
5097,Rối loạn vận động kịch phát không do vận động
5098,"Viêm màng não, phế cầu khuẩn"
5099,Hội chứng Ehlers-Danlos loại van tim
5101,"Sự quyến rũ, lành tính"
5102,Bệnh hiểm nghèo
5103,khó thở khi nằm
5104,Thất bại trong việc tẩy tế bào chết của răng sữa
5105,Bệnh ly thượng bì loạn dưỡng bóng nước toàn thể nặng
5106,tim to
5107,Hạ catat máu
5108,Viêm màng não tái phát
5109,Hạn chế cử động ở mắt cá chân
5110,"LUPUS ĐỎ HỆ THỐNG, KHẢ NĂNG NHẠY CẢM, 10 (phát hiện)"
5111,Dáng đi nhón chân
5112,Bệnh sụn
5113,U mô thừa võng mạc
5114,U nhú thanh quản
5116,Mô hạt bất thường
5117,Dị tật mạch máu Dieulafoy
5118,Bệnh Pompe khởi phát ở người lớn
5119,Khối u hình thoi/hình thoi không điển hình ở trẻ em
5120,Tăng oxy máu
5121,Ly thượng bì bọng nước đơn giản kèm teo môn vị
5122,"Sai khớp cắn, góc loại II"
5123,"BỆNH CHARCOT-MARIE-RĂNG, LOẠI 2L (rối loạn)"
5124,Bệnh u xơ loại Desmoid tái phát
5125,Giả tắc ruột vô căn bẩm sinh
5126,Thu hẹp lưỡng cực
5127,Rối loạn hoang tưởng chung
5128,gãy xương giả
5129,Ung thư biểu mô tế bào lớn không biệt hóa
5130,Sarcoma da
5131,Khối u đường tế bào sáng
5132,Địa y phẳng
5134,U trung biểu mô ác tính
5135,Điểm yếu mệt mỏi của cơ hành tủy
5136,Liệt cứng hai chân loại 4
5137,Bệnh khớp
5138,Bệnh cường cận giáp do thiếu vitamin D
5139,máu đầu
5140,"Ung thư biểu mô vỏ thượng thận, Nhi khoa"
5141,Rối loạn vận động
5142,ung thư tuyến cận giáp di căn
5143,Nhiễm khuẩn gram âm tái phát
5144,Khối u tuyến tiền liệt
5145,Hội chứng Coffin-Lowry
5146,Loạn dưỡng mỡ một phần mang tính chất gia đình
5147,Khối u tế bào khổng lồ ác tính của xương
5148,Triệu chứng chấn thương
5149,Talipes Valgus
5150,U tuyến ống nhung mao
5151,Sự mất ổn định của Atlantoicular
5153,Viêm nội mạc tử cung
5154,U ác của thành sau hầu họng
5155,"giai đoạn, ung thư cổ tử cung"
5156,Giảm collagen cơ VI
5157,Bệnh giang mai thứ phát
5158,Khởi phát ở tuổi trưởng thành trẻ
5159,Thiếu hụt glucocorticoid gia đình
5160,Rối loạn biểu sinh
5161,Hội chứng công việc
5163,Béo phì phì đại
5164,Nhiễm Giardia tá tràng
5166,Bệnh thần kinh thị giác cận ung thư
5167,Xương dài ngắn
5169,Hội chứng rối loạn sinh tủy ở trẻ em
5170,"Apraxia, cử chỉ"
5171,"Bệnh bạch cầu, cấp tính, liên kết với X"
5172,Cystathionin niệu
5173,Giảm mức độ hormone tuyến cận giáp tuần hoàn
5174,"Bệnh bạch cầu nguyên bào lympho cấp tính, nhiễm sắc thể Philadelphia âm tính"
5175,Hình thái mũi bất thường
5176,nốt lưỡi
5177,Bệnh xương khớp phì đại
5178,Bệnh tế bào mast hệ thống hung hăng
5179,"Khuyết tật trí tuệ liên quan đến AHDC1, ngưng thở khi ngủ do tắc nghẽn, hội chứng dị dạng nhẹ"
5180,Đốt sống cổ hợp nhất
5181,Nhiễm trùng lách
5182,"Liệt nửa người, thoáng qua"
5183,Khối u rắn ác tính di căn
5184,Bệnh Machado-Joseph loại III
5185,Hội chứng co mạch não có hồi phục
5186,Phản ứng hormone tăng trưởng bị suy giảm với xét nghiệm kích thích insulin
5187,Sarcoma myofibroblastic cấp độ thấp
5188,Suy van hai lá và động mạch chủ
5189,Bệnh lao ở bò
5190,Nhiễm trùng đường hô hấp tái phát
5191,Tăng nồng độ estradiol
5192,Sarcoma 180
5193,Hội chứng phát triển quá mức Kosaki
5194,"Ung thư biểu mô tuyến, nhầy"
5195,tetany hạ canxi máu
5196,"Bệnh xơ cứng teo cơ một bên 6, gen lặn nhiễm sắc thể thường"
5197,Ung thư biểu mô tuyến nước bọt
5199,bệnh giun móc
5200,apraxia
5201,bệnh acrodysostosis
5202,"Liệt cứng hai chân, mất điều hòa và chậm phát triển tâm thần"
5203,Tạo hang của hạch nền
5204,Hội chứng chuyển hóa béo bụng
5205,Friedreich Ataxia
5206,Chondrosarcoma xương nguyên phát
5207,Masaoka-Koga Giai đoạn III
5208,Xơ hóa mạc treo
5209,Khối u lành tính trên lều
5210,Đục thủy tinh thể màng bẩm sinh
5211,"Bệnh lao, màng não"
5212,Hói đầu sớm
5213,Chứng loạn sản tuyến ức
5214,Xói mòn thực quản
5215,Căng thẳng cảm xúc
5217,Viêm cơ cận ung thư
5218,Bệnh gù lưng ở trẻ sơ sinh
5219,Phù ngoại biên
5220,Phản xạ mắt cá chân giảm/mất
5221,Khối u ác tính tế bào B
5222,Thiếu hụt vitamin B6
5223,Suy giảm nồng độ nước tiểu
5224,"Viêm bể thận, u hạt xantho"
5225,Viêm khớp sọ dọc
5226,Chứng thiểu sản của dây thần kinh thị giác
5227,Cơn động kinh giật cơ từng phần
5228,Sự hiện diện của các tế bào bọt
5229,Ung thư biểu mô vi nhú
5230,lạm dụng heroin
5231,Điện võng mạc điện âm
5232,Điện tâm đồ liên tục - nhịp tim nhanh kịch phát trên thất
5233,Giảm gammaglobulin máu liên kết với X
5234,Viêm nha chu quanh chóp
5235,U nguyên bào mạch máu thận
5237,"Ung thư hạch, không Hodgkin, có tính chất gia đình"
5238,Ly thượng bì bọng nước đơn giản có đốm sắc tố
5239,Tăng mô mỡ thân dưới da
5240,Màng đồng tử dai dẳng
5241,"Xeroderma Pigmentosum, Hội chứng loại G-Cockayne"
5242,ung thư cổ tử cung
5243,Bệnh bạch cầu cấp tính của dòng dõi mơ hồ
5245,Viêm tủy không hồi phục có triệu chứng
5246,Phalanx giữa ngắn của ngón thứ 3
5247,Dị dạng động tĩnh mạch nội sọ
5249,Hội chứng mắt-thực quản tá tràng
5251,Bệnh giác mạc
5252,Hội chứng CADASIL
5253,Hẹp động mạch gan
5254,U tuyến ác tính
5255,Tiêu sợi huyết hệ thống
5256,Bệnh hẹp bao quy đầu bẩm sinh
5257,"Gangliosidosis, GM1 tổng quát, loại 1 (rối loạn)"
5258,Thiếu hụt glucocorticoid
5259,cường aldosteron
5260,Đo lysine
5261,Nhiễm toan chuyển hóa mãn tính
5262,U lympho
5263,Chondrosarcoma độ I
5264,"46, XY nữ"
5265,Đau đầu tư thế
5266,Sự rối loạn không gian
5267,Huyết sắc tố H
5268,Bị gián đoạn tĩnh mạch chủ dưới với sự tiếp tục của azygous
5269,U lympho da nguyên phát
5270,Tâm thất trái giãn
5271,Sarcoma mô đệm
5272,"Động kinh, giác quan"
5273,Bệnh leishmania niêm mạc
5274,Một số lượng rất lớn
5275,"BỆNH CHARCOT-MARIE-RĂNG, LOẠI 2B (rối loạn)"
5276,Bệnh lý thần kinh sợi trục vận động cấp tính
